ID,Name,Year Published,Bayesian Average,Mechanic,Category
1,Die Macher,1986,7.02904,Alliances,Economic
2,Dragonmaster,1981,5.74929,Trick-taking,Card Game
3,Samurai,1998,7.22483,Area Majority / Influence,Abstract Strategy
4,Tal der Könige,1992,5.65198,Action Points,Ancient
5,Acquire,1963,7.12436,Hand Management,Economic
6,Mare Mediterraneum,1989,5.53664,Dice Rolling,Civilization
7,Cathedral,1979,6.1193,Enclosure,Abstract Strategy
8,Lords of Creation,1993,5.54993,Modular Board,Civilization
9,El Caballero,1998,5.87775,Area Majority / Influence,Exploration
10,Elfenland,1998,6.43043,Hand Management,Fantasy
11,Bohnanza,1997,6.94616,Hand Management,Card Game
12,Ra,1999,7.47466,Auction: Once Around,Ancient
13,CATAN,1995,6.91946,Chaining,Economic
14,Basari,1998,6.06046,Roll / Spin and Move,Negotiation
15,Cosmic Encounter,1977,6.37584,Alliances,Bluffing
16,MarraCash,1996,6.00662,Auction/Bidding,Economic
17,Button Men,1999,5.72588,Dice Rolling,Collectible Components
18,RoboRally,1994,6.89029,Action Queue,Maze
19,Wacky Wacky West,1991,5.85675,Tile Placement,American West
20,Full Metal Planète,1988,5.9999,Action Points,Miniatures
21,Gateway to the Stars,1994,5.50098,Not available,Civilization
22,Magic Realm,1979,6.32417,Action Queue,Adventure
23,Divine Right,1979,5.80442,Dice Rolling,Fantasy
24,Twilight Imperium,1997,5.74285,Dice Rolling,Civilization
25,Battlemist,1998,5.54322,Dice Rolling,Exploration
26,Age of Renaissance,1996,6.26955,Area Movement,Civilization
27,Supremacy: The Game of the Superpowers,1984,5.52125,Commodity Speculation,Economic
28,Illuminati,1987,6.11217,Dice Rolling,Card Game
29,Terrain Vague,1993,5.54225,Action Points,Fighting
30,Dark Tower,1981,5.94478,Area Movement,Adventure
31,Dark World,1991,5.44484,Dice Rolling,Adventure
32,Buffalo Chess,1975,5.58187,Grid Movement,Abstract Strategy
33,Not available,Not available,Not available,Not available,Not available
34,Arkham Horror,1987,5.71569,Cooperative Game,Adventure
35,Not available,Not available,Not available,Not available,Not available
36,Federation & Empire,1986,5.63144,Dice Rolling,Science Fiction
37,Dragon Masters,1991,5.50856,Not available,Fantasy
38,Runes,1981,5.53052,Deduction,Deduction
39,Darkover,1979,5.49337,Area Majority / Influence,Bluffing
40,Borderlands,1982,5.62349,Area Movement,Bluffing
41,Can't Stop,1980,6.75834,Dice Rolling,Dice
42,Tigris & Euphrates,1997,7.51655,Area Majority / Influence,Abstract Strategy
43,Airlines,1990,5.65808,Investment,Aviation / Flight
44,David & Goliath,1997,5.94743,Trick-taking,Card Game
45,Perudo,1800,6.71612,Betting and Bluffing,Children's Game
46,Medici,1995,6.821,Auction: Once Around,Renaissance
47,Chinatown,1999,7.10805,Enclosure,City Building
48,Krieg und Frieden,1999,5.65052,Auction/Bidding,Medieval
49,Mamma Mia!,1998,6.21486,Hand Management,Card Game
50,Lost Cities,1999,7.13866,Hand Management,Card Game
51,Ricochet Robots,1999,6.70471,Grid Movement,Abstract Strategy
52,Mighty Empires,1990,5.60131,Hexagon Grid,Fantasy
53,Brauerei,1996,5.50816,Not available,Economic
54,Tikal,1999,7.12396,Action Points,Exploration
55,Sophie's World,1998,5.46282,Dice Rolling,Novel-based
56,Not available,Not available,Not available,Not available,Not available
57,Schoko & Co.,1987,5.68845,Auction/Bidding,Economic
58,Kings & Things,1986,5.92589,Area Majority / Influence,Bluffing
59,Giganten,1999,5.98698,Auction/Bidding,Economic
60,Vinci,1999,6.50953,Area Majority / Influence,Ancient
61,Fossil,1998,5.48025,Set Collection,Ancient
62,Curse of the Mummy's Tomb,1988,5.46816,Action Queue,Adventure
63,Samurai: Game of Politics and Warfare in Feudal Japan,1979,5.64671,Area Movement,Medieval
64,Joan of Arc,1998,5.62036,Area Majority / Influence,Card Game
65,The Garden Game,1996,0,Roll / Spin and Move,Card Game
66,Löwenherz,1997,6.34765,Area Majority / Influence,Medieval
