Name,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Domain1,above_average,Bayesian Average,Most Notable Genre,Most Notable Mechanic,Price,pct_rated,bayes_above_average,Year Published,Year Offset,Owned_Per_Year,ID,BGG Rank,Mechanics,Domains
Gloomhaven,1.0,4.0,120.0,14.0,42055.0,8.79,3.86,68323.0,Strategy Games,True,8.35,Adventure,Action Queue,99.0,0.62,True,2017.0,7.0,9760.43,174430.0,1,"Action Queue, Action Retrieval, Campaign / Battle Card Driven, Card Play Conflict Resolution, Communication Limits, Cooperative Game, Deck Construction, Deck Bag and Pool Building, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Modular Board, Once-Per-Game Abilities, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Solo / Solitaire Game, Storytelling, Variable Player Powers","Strategy Games, Thematic Games"
Pandemic Legacy: Season 1,2.0,4.0,60.0,13.0,41643.0,8.61,2.84,65294.0,Strategy Games,True,8.38,Environmental,Action Points,49.5,0.64,True,2015.0,9.0,7254.89,161936.0,2,"Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Set Collection, Trading, Variable Player Powers","Strategy Games, Thematic Games"
Brass: Birmingham,2.0,4.0,120.0,14.0,19217.0,8.66,3.91,28785.0,Strategy Games,True,8.41,Age of Reason,Hand Management,105.0,0.67,True,2018.0,6.0,4797.5,224517.0,3,"Hand Management, Income, Loans, Market, Network and Route Building, Score-and-Reset Game, Tech Trees / Tech Tracks, Turn Order: Stat-Based, Variable Set-up",Strategy Games
Terraforming Mars,1.0,5.0,120.0,12.0,64864.0,8.43,3.24,87099.0,Strategy Games,True,8.21,Economic,Closed Drafting,69.9,0.74,True,2016.0,8.0,10887.38,167791.0,4,"Card Drafting, Drafting, End Game Bonuses, Hand Management, Hexagon Grid, Income, Set Collection, Solo / Solitaire Game, Take That, Tile Placement, Turn Order: Progressive, Variable Player Powers",Strategy Games
Twilight Imperium: Fourth Edition,3.0,6.0,480.0,14.0,13468.0,8.7,4.22,16831.0,Strategy Games,True,8.24,Civilization,Action Drafting,127.99,0.8,True,2017.0,7.0,2404.43,233078.0,5,"Action Drafting, Area Majority / Influence, Area-Impulse, Dice Rolling, Follow, Grid Movement, Hexagon Grid, Modular Board, Trading, Variable Phase Order, Variable Player Powers, Voting","Strategy Games, Thematic Games"
Gloomhaven: Jaws of the Lion,1.0,4.0,120.0,14.0,8392.0,8.87,3.55,21609.0,Strategy Games,True,8.16,Adventure,Action Queue,38.99,0.39,True,2020.0,4.0,5402.25,291457.0,6,"Action Queue, Campaign / Battle Card Driven, Communication Limits, Cooperative Game, Critical Hits and Failures, Deck Construction, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Line of Sight, Once-Per-Game Abilities, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers","Strategy Games, Thematic Games"
Through the Ages: A New Story of Civilization,2.0,4.0,120.0,14.0,23061.0,8.43,4.41,26985.0,Strategy Games,True,8.05,Card Game,Action Points,55.0,0.85,True,2015.0,9.0,2998.33,182028.0,7,"Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Events, Income, Take That",Strategy Games
Gaia Project,1.0,4.0,150.0,12.0,16352.0,8.49,4.35,20312.0,Strategy Games,True,8.11,Civilization,End Game Bonuses,99.8,0.81,True,2017.0,7.0,2901.71,220308.0,8,"End Game Bonuses, Hexagon Grid, Income, Modular Board, Network and Route Building, Solo / Solitaire Game, Tech Trees / Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource",Strategy Games
Star Wars: Rebellion,2.0,4.0,240.0,14.0,23081.0,8.42,3.71,34849.0,Thematic Games,True,8.17,Civil War,Area Majority / Influence,60.4,0.66,True,2016.0,8.0,4356.12,187645.0,9,"Area Majority / Influence, Area Movement, Area-Impulse, Delayed Purchase, Dice Rolling, Hand Management, Team-Based Game, Variable Player Powers",Thematic Games
Twilight Struggle,2.0,2.0,180.0,13.0,40814.0,8.29,3.59,56219.0,Strategy Games,True,8.07,Modern Warfare,Action/Event,46.95,0.73,True,2005.0,19.0,2958.89,12333.0,10,"Action/Event, Advantage Token, Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simulation, Simultaneous Action Selection, Sudden Death Ending, Tug of War","Strategy Games, Wargames"
