Name,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Domain1,above_average,Bayesian Average,Most Notable Genre,Most Notable Mechanic,Price,pct_rated,bayes_above_average
Gloomhaven,1,4,120,14,42055,8.79,3.86,68323.0,Strategy Games,True,8.35,Adventure,Action Queue,99.0,0.62,True
Pandemic Legacy: Season 1,2,4,60,13,41643,8.61,2.84,65294.0,Strategy Games,True,8.38,Environmental,Action Points,49.5,0.64,True
Brass: Birmingham,2,4,120,14,19217,8.66,3.91,28785.0,Strategy Games,True,8.41,Age of Reason,Hand Management,105.0,0.67,True
Terraforming Mars,1,5,120,12,64864,8.43,3.24,87099.0,Strategy Games,True,8.21,Economic,Closed Drafting,69.9,0.74,True
Twilight Imperium: Fourth Edition,3,6,480,14,13468,8.7,4.22,16831.0,Strategy Games,True,8.24,Civilization,Action Drafting,127.99,0.8,True
Gloomhaven: Jaws of the Lion,1,4,120,14,8392,8.87,3.55,21609.0,Strategy Games,True,8.16,Adventure,Action Queue,38.99,0.39,True
Through the Ages: A New Story of Civilization,2,4,120,14,23061,8.43,4.41,26985.0,Strategy Games,True,8.05,Card Game,Action Points,55.0,0.85,True
Gaia Project,1,4,150,12,16352,8.49,4.35,20312.0,Strategy Games,True,8.11,Civilization,End Game Bonuses,99.8,0.81,True
Star Wars: Rebellion,2,4,240,14,23081,8.42,3.71,34849.0,Thematic Games,True,8.17,Civil War,Area Majority / Influence,60.4,0.66,True
Twilight Struggle,2,2,180,13,40814,8.29,3.59,56219.0,Strategy Games,True,8.07,Modern Warfare,Action/Event,46.95,0.73,True
Great Western Trail,2,4,150,12,29457,8.3,3.71,35804.0,Strategy Games,True,8.02,American West,"Deck, Bag, and Pool Building",39.9,0.82,True
War of the Ring: Second Edition,2,4,180,13,13725,8.49,4.14,22281.0,Thematic Games,True,8.19,Fantasy,Action Drafting,62.99,0.62,True
Spirit Island,1,4,120,13,25722,8.35,4.01,38254.0,Strategy Games,True,8.14,Environmental,Action Retrieval,45.0,0.67,True
Scythe,1,5,115,14,57871,8.24,3.41,75640.0,Strategy Games,True,7.99,Economic,Area Majority / Influence,200.0,0.77,True
The Castles of Burgundy,2,4,90,12,46507,8.13,3.0,63058.0,Strategy Games,True,8.02,Dice,Dice Rolling,29.5,0.74,True
Terra Mystica,2,5,150,12,39284,8.14,3.96,42720.0,Strategy Games,True,7.89,Civilization,Area Majority / Influence,69.5,0.92,True
7 Wonders Duel,2,2,30,10,60302,8.11,2.23,94343.0,Strategy Games,True,7.97,Ancient,End Game Bonuses,23.95,0.64,True
Concordia,2,5,100,13,28105,8.12,3.03,32014.0,Strategy Games,True,7.94,Ancient,Action Retrieval,39.9,0.88,True
Brass: Lancashire,2,4,120,14,19400,8.17,3.86,25429.0,Strategy Games,True,7.96,Economic,Hand Management,40.0,0.76,True
Wingspan,1,5,70,10,43165,8.11,2.42,61775.0,Family Games,True,7.89,Animals,Action Queue,38.99,0.7,True
A Feast for Odin,1,4,120,12,17377,8.2,3.84,22794.0,Strategy Games,True,7.94,Economic,Automatic Resource Growth,74.95,0.76,True
Arkham Horror: The Card Game,1,2,120,14,28577,8.17,3.44,50883.0,Customizable Games,True,7.9,Adventure,Action Points,32.95,0.56,True
Viticulture Essential Edition,1,6,90,13,29486,8.08,2.91,39747.0,Strategy Games,True,7.84,Economic,Contracts,54.0,0.74,True
Nemesis,1,5,180,12,12290,8.4,3.35,17574.0,Thematic Games,True,7.95,Adventure,Campaign / Battle Card Driven,10.0,0.7,True
Orléans,2,4,90,12,22244,8.09,3.05,27093.0,Strategy Games,True,7.87,Medieval,Contracts,45.0,0.82,True
Mage Knight Board Game,1,4,240,14,27850,8.1,4.31,39421.0,Strategy Games,True,7.85,Adventure,Card Play Conflict Resolution,52.95,0.71,True
Root,2,4,90,10,24412,8.1,3.67,37715.0,Strategy Games,True,7.88,Animals,Action Points,69.95,0.65,True
Puerto Rico,3,5,150,12,63128,7.99,3.28,73413.0,Strategy Games,True,7.77,City Building,Action Drafting,26.0,0.86,True
Food Chain Magnate,2,5,240,14,13863,8.14,4.2,16413.0,Strategy Games,True,7.8,Economic,Delayed Purchase,72.5,0.84,True
Caverna: The Cave Farmers,1,7,210,12,28123,8.02,3.79,35475.0,Strategy Games,True,7.76,Animals,Automatic Resource Growth,80.95,0.79,True
Agricola,1,5,150,12,63498,7.94,3.64,75679.0,Strategy Games,True,7.75,Animals,Automatic Resource Growth,44.99,0.84,True
Blood Rage,2,4,90,14,33940,8.0,2.88,40664.0,Strategy Games,True,7.75,Fantasy,Action Points,135.0,0.83,True
Mansions of Madness: Second Edition,1,5,180,14,25116,8.06,2.69,39007.0,Thematic Games,True,7.71,Adventure,Area Movement,84.95,0.64,True
The 7th Continent,1,4,1000,14,16868,8.15,2.87,30488.0,Thematic Games,True,7.5,Adventure,Area Movement,110.0,0.55,True
