Name,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Domain1,above_average,Bayesian Average,Most Notable Genre,Most Notable Mechanic,Price,pct_rated,bayes_above_average,Year Published,Owned_Bool,Year Offset,Owned_Per_Year,perYear_Bool
Gloomhaven,1,4,120,14,42055,8.79,3.86,68323,Strategy Games,True,8.35,Adventure,Action Queue,99.0,0.62,True,2017,True,7,9760.43,True
Pandemic Legacy: Season 1,2,4,60,13,41643,8.61,2.84,65294,Strategy Games,True,8.38,Environmental,Action Points,49.5,0.64,True,2015,True,9,7254.89,True
Brass: Birmingham,2,4,120,14,19217,8.66,3.91,28785,Strategy Games,True,8.41,Age of Reason,Hand Management,105.0,0.67,True,2018,True,6,4797.5,True
Terraforming Mars,1,5,120,12,64864,8.43,3.24,87099,Strategy Games,True,8.21,Economic,Closed Drafting,69.9,0.74,True,2016,True,8,10887.38,True
Twilight Imperium: Fourth Edition,3,6,480,14,13468,8.7,4.22,16831,Strategy Games,True,8.24,Civilization,Action Drafting,127.99,0.8,True,2017,True,7,2404.43,True
Gloomhaven: Jaws of the Lion,1,4,120,14,8392,8.87,3.55,21609,Strategy Games,True,8.16,Adventure,Action Queue,38.99,0.39,True,2020,True,4,5402.25,True
Through the Ages: A New Story of Civilization,2,4,120,14,23061,8.43,4.41,26985,Strategy Games,True,8.05,Card Game,Action Points,55.0,0.85,True,2015,True,9,2998.33,True
Gaia Project,1,4,150,12,16352,8.49,4.35,20312,Strategy Games,True,8.11,Civilization,End Game Bonuses,99.8,0.81,True,2017,True,7,2901.71,True
Star Wars: Rebellion,2,4,240,14,23081,8.42,3.71,34849,Thematic Games,True,8.17,Civil War,Area Majority / Influence,60.4,0.66,True,2016,True,8,4356.12,True
Twilight Struggle,2,2,180,13,40814,8.29,3.59,56219,Strategy Games,True,8.07,Modern Warfare,Action/Event,46.95,0.73,True,2005,True,19,2958.89,True
Great Western Trail,2,4,150,12,29457,8.3,3.71,35804,Strategy Games,True,8.02,American West,"Deck, Bag, and Pool Building",39.9,0.82,True,2016,True,8,4475.5,True
War of the Ring: Second Edition,2,4,180,13,13725,8.49,4.14,22281,Thematic Games,True,8.19,Fantasy,Action Drafting,62.99,0.62,True,2012,True,12,1856.75,True
Spirit Island,1,4,120,13,25722,8.35,4.01,38254,Strategy Games,True,8.14,Environmental,Action Retrieval,45.0,0.67,True,2017,True,7,5464.86,True
Scythe,1,5,115,14,57871,8.24,3.41,75640,Strategy Games,True,7.99,Economic,Area Majority / Influence,200.0,0.77,True,2016,True,8,9455.0,True
The Castles of Burgundy,2,4,90,12,46507,8.13,3.0,63058,Strategy Games,True,8.02,Dice,Dice Rolling,29.5,0.74,True,2011,True,13,4850.62,True
Terra Mystica,2,5,150,12,39284,8.14,3.96,42720,Strategy Games,True,7.89,Civilization,Area Majority / Influence,69.5,0.92,True,2012,True,12,3560.0,True
7 Wonders Duel,2,2,30,10,60302,8.11,2.23,94343,Strategy Games,True,7.97,Ancient,End Game Bonuses,23.95,0.64,True,2015,True,9,10482.56,True
Concordia,2,5,100,13,28105,8.12,3.03,32014,Strategy Games,True,7.94,Ancient,Action Retrieval,39.9,0.88,True,2013,True,11,2910.36,True
Brass: Lancashire,2,4,120,14,19400,8.17,3.86,25429,Strategy Games,True,7.96,Economic,Hand Management,40.0,0.76,True,2007,True,17,1495.82,True
Wingspan,1,5,70,10,43165,8.11,2.42,61775,Family Games,True,7.89,Animals,Action Queue,38.99,0.7,True,2019,True,5,12355.0,True
A Feast for Odin,1,4,120,12,17377,8.2,3.84,22794,Strategy Games,True,7.94,Economic,Automatic Resource Growth,74.95,0.76,True,2016,True,8,2849.25,True
Arkham Horror: The Card Game,1,2,120,14,28577,8.17,3.44,50883,Customizable Games,True,7.9,Adventure,Action Points,32.95,0.56,True,2016,True,8,6360.38,True
Viticulture Essential Edition,1,6,90,13,29486,8.08,2.91,39747,Strategy Games,True,7.84,Economic,Contracts,54.0,0.74,True,2015,True,9,4416.33,True
